"";"rep_juste"
"1";"Le griffon"
"2";"France"
"3";"Rome"
"4";"Napoléon"
"5";"France"
"6";"Neil Armstrong"
"7";"1000 ans"
"8";"Louis XIV"
"9";"Nanterre"
"10";"Océan et Japet"
"11";"Cuba"
"12";"Les maoris"
"13";"Le pôle sud"
"14";"La Russie"
"15";"L'Allemagne"
"16";"La Russie"
"17";"12"
"18";"Le Danube"
"19";"Le Kenya"
"20";"6"
"21";"Taxe"
"22";"Les ressources sont limités"
"23";"Adam Smith"
"24";"Le Krash boursier"
"25";"Un prix"
"26";"L’intérêt personnel et les prix"
"27";"La hausse du prix du baril de pétrole"
"28";"La valeur de la meilleure opportunité que l’étudiant ne prend pas pour faire ses études"
"29";"Redistributif"
"30";"Un bien dont le prix ne peut pas varier"
"31";"Le renard"
"32";"Le chat botté"
"33";"Une toupie"
"34";"Jean-Baptiste"
"35";"Rossinante"
"36";"Voltaire"
"37";"Cosette"
"38";"Venise"
"39";"La lettre à Élise"
"40";"Un compositeur d’opéra"
"41";"exponentielle"
"42";"On ne peut pas dépasser la vitesse de la lumière"
"43";"La vitesse d’un objet dans le vide"
"44";"Galilée"
"45";"La fusion d’atomes d’uranium"
"46";"Gausse et Laplace"
"47";"L'ensemble des complexes"
"48";"6 ème"
"49";"La somme de tout les entiers positif (donc de 1 à +∞) est égal à -1/12"
"50";"7"
"51";"Italie"
"52";"La pétanque"
"53";"Le volley-ball"
"54";"300 points"
"55";"Bleue"
"56";"Les centraux"
"57";"16"
"58";"4"
"59";"1896"
"60";"75"
